count,encroached,area_m2,area_feddan,patch_id,mean_carbon_potential,rank,centroid_lat,centroid_lon,relative_carbon_loss_share_pct,size_class
3,1,256.2696930009184,0.06100453791296444,KED-ENCR-0069,41.04301143114598,73,31.128675747973155,30.121484651434326,0.016004584762336987,Small (<500 m²)
3,1,256.268447697206,0.06100424147066318,KED-ENCR-0124,10.393782795267516,74,31.128735635604567,30.124868305662368,0.0040530010738490645,Small (<500 m²)
3,1,256.2676061706197,0.06100404114677806,KED-ENCR-0067,25.39622242418626,75,31.129544119478467,30.120915718396517,0.009903091182775926,Small (<500 m²)
3,1,256.2517501228914,0.06100026664323274,KED-ENCR-0091,38.63086462024642,76,31.13532328107255,30.122323078998875,0.015062921483692345,Small (<500 m²)
3,1,256.25172745992893,0.06100026124835543,KED-ENCR-0099,58.403072551457704,77,31.135293337296844,30.122712348964768,0.022772485863161846,Small (<500 m²)
3,1,256.2502537042886,0.06099991042348502,KED-ENCR-0088,62.99684090180754,78,31.135922157879286,30.122113472061812,0.024563543586709004,Small (<500 m²)
3,1,256.24207747973054,0.06099796408798512,KED-ENCR-0051,26.778600996284883,79,31.1395154191322,30.11795127795892,0.010441100466684314,Small (<500 m²)
3,1,256.2411119702665,0.06099773425019973,KED-ENCR-0019,18.436077965540715,80,31.140353846663604,30.11405857838497,0.007188285040400743,Small (<500 m²)
3,1,256.2404354859574,0.06099757321433083,KED-ENCR-0026,10.67866298622735,81,31.140563453566337,30.114597567589417,0.004163633441275556,Small (<500 m²)
3,1,256.2381980923455,0.060997040606819486,KED-ENCR-0047,5.986389157677717,82,31.141102442736795,30.117023018856543,0.0023340855016051243,Small (<500 m²)
3,1,256.23741825648176,0.06099685496829954,KED-ENCR-0046,6.151807280802443,83,31.14140188122887,30.116873299617968,0.002398574517100692,Small (<500 m²)
3,1,256.2232322009509,0.06099347800338288,KED-ENCR-0038,5.136451596303135,84,31.146881604462024,30.115705489748613,0.002002578960061975,Small (<500 m²)
